"Gel","Telomere.ID","Individual.Treatment","Capture.Date","Site","Nest","Age","Mass","Bill.Head","Flat.Wing","Nestling.Fate","Mean.TRF","X","X.1","X.2","yday","year","avgC_capture_day","maxC_capture_day","incubation_max_temp","incubation_avg_temp","incubation_below_18.5"
1,"T21N388","Cold_Control",2021-06-16,"Unit_1",114,12,"18.6","26.1","53","Fledged",7.73,NA,NA,NA,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
2,"T21N188","Cold_Cold",2021-06-12,"Unit_2",44,10,"22.2","25.4","49","Fledged",11.02,NA,NA,NA,163,2021,21.0740740740741,25.5555555555556,22.1111111111111,18.2469135802469,4
2,"T21N213","Cold_Control",2021-06-13,"Unit_2",18,12,"20","27.9","57","Fledged",9.08,NA,NA,NA,164,2021,24.7777777777778,28.8888888888889,22.4652777777778,18.4976851851852,4
2,"T21N216","Cold_Cold",2021-06-13,"Unit_2",123,10,"18.4","25.4","46","Fledged",10,NA,NA,NA,164,2021,24.7777777777778,28.8888888888889,21.7037037037037,18.0222222222222,4
2,"T21N232","Cold_Cold",2021-06-14,"Unit_1",13,12,"23.7","26.6","58","Fledged",8.33,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
2,"T21N237","Cold_Control",2021-06-14,"Unit_1",23,10,"21.5","25.3","46","Dead",7.95,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.5773420479303,4
2,"T21N239","Cold_Control",2021-06-14,"Unit_1",23,10,"24.9","23.1","48","Fledged",8.75,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.5773420479303,4
2,"T21N240","Cold_Control",2021-06-14,"Unit_1",23,10,"22.3","26","50","Fledged",8.03,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.5773420479303,4
2,"T21N246","Cold_Cold",2021-06-14,"Unit_1",62,12,"17.3","25.1","48","Dead",11.04,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
2,"T21N250","Cold_Cold",2021-06-14,"Unit_1",62,12,"19.1","23.9","49","Fledged",10.08,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
2,"T21N259","Cold_Cold",2021-06-14,"Unit_2",72,10,"20.8","24.8","42","Fledged",10.36,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,20.6746031746032,17.1296296296296,4
2,"T21N267","Cold_Cold",2021-06-14,"Unit_2",7,12,"17.5","26.7","53","Fledged",11.67,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
2,"T21N268","Cold_Cold",2021-06-14,"Unit_2",7,12,"18.2","25.4","48","Dead",10.06,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
