"gel","Telomere_Sample_nb","Mean_TRF","Individual_Band","Individual_Treatment","Age","Site","Nestling_Fate","Exp_Year","Experiment","Capture_Date","Nest","Mass","Bill.Head","Flat_Wing","Blood_DNA_Sample_nb","yday","year","avgC_capture_day","maxC_capture_day","incubation_max_temp","incubation_avg_temp","incubation_below_18.5"
1,"T21N287",8.36,288134921,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-15,10,21.2,26.4,60,210521,166,2021,16.2962962962963,18.3333333333333,22.0833333333333,18.3287037037037,4
2,"T21N224",11.21,288135305,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-14,86,21,27.6,56,210438,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
2,"T21N225",10.71,272108101,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-14,80,23.5,26.4,57,210439,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
2,"T21N226",8.57,272108102,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-14,80,23.9,26.5,58.5,210440,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
2,"T21N227",10.9,272108103,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-14,80,24,26.1,56,210441,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
2,"T21N229",10.69,272108105,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-14,309,24,26.4,60,210459,165,2021,20.3333333333333,24.4444444444444,22.1111111111111,18.2469135802469,4
2,"T21N230",10.46,272108106,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-14,309,22.5,26.8,59,210460,165,2021,20.3333333333333,24.4444444444444,22.1111111111111,18.2469135802469,4
2,"T21N285",8.28,288134919,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-15,10,21.2,21.4,60,210519,166,2021,16.2962962962963,18.3333333333333,22.0833333333333,18.3287037037037,4
2,"T21N286",9.48,288134920,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-15,10,20,26.5,58.5,210520,166,2021,16.2962962962963,18.3333333333333,22.0833333333333,18.3287037037037,4
2,"T21N288",7.91,288134922,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-15,10,19.6,27.9,59,210522,166,2021,16.2962962962963,18.3333333333333,22.0833333333333,18.3287037037037,4
